"Fault",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"nie:identifier","nie:title","location","Strike",,"Azimuth",,"Angle",,"Length",,"Depth",,"Width",,"Slip",,,"CenosoicSlip",,"CenosoicSlip",,"reliabilityClass","Rate",,"Feature",,"Feature",,"Feature",,"Feature",,"Feature",,"Feature",,"Feature",,"Feature",,"Activity",,,,,,,,"Event",,"Event",,"Event",,"slip_rate_mm_year",,"averaged_slip_rate_mm_year",,"recurrence_interval",,"potential_ms_max",,"potential_mw_max",,"elapsed_time_years",,"associatedCSS","associatedIGGSS","isActiveFault","Complier","nie:created"
,,,"value","quality","value","quality","value","quality","value","quality","value","quality","value","quality","type","quality","value","type=Lateral",,"type=vertical",,,"value","grade","type=Geomorphological",,"type=Geophysical",,"type=EngineeringGeological",,"type=Gydrogeological",,"type=Meteorological",,"type=StructuralGeological",,"type=Paleoseismological",,"type=Seismological",,"value","degree","EventAge",,"EventAge",,"EventAge",,"type=VerticalMaxSlip",,"type=LateralMaxSlip",,"type=TotalMaxSlip",,"value","quality","value","quality","value","quality","value","quality","value","quality","value","quality",,,,"foaf:name",
,,,,,,,,,,,,,,,,,,"value","quality","value","quality",,,,"value","grade","value","grade","value","grade","value","grade","value","grade","value","grade","value","grade","value","grade",,,"type=LastActivationAge",,"type=LastHistoricalEathquake",,"type=AbsoluteDeformationAge",,"value","quality","value","quality","value","quality",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"value","index","value","quality","value","quality",,,,,,,,,,,,,,,,,,,,,,,
"ID","Name","Location","Strike","Strike_Q","Dip_azimuth","Dip_azimuth_Q","Dip_angle","Dip_angle_Q","Length_km","Length_Q","Depth_km","Depth_Q","Width_damage_zone_km","Width_damage_zone_Q","Slip_sense","Slip_sense_Q","Slip_sense_Index","Total_Cenozoic_lateral_slip_m","Total_Cenozoic_lateral_slip_Q","Total_Cenozoic_vertical_slip_m","Total_Cenozoic_vertical_slip_Q","Reliability_class","Slip_rate_features","Slip_rate_grade","Geomorphological_features","Geomorphological_grade","Geophysical_features","Geophysical_grade","Engineering_geological_features","Engineering_geological_grade","Gydrogeological_features","Gydrogeological_grade","Meteorological_features","Meteorological_grade","Structural_geological_features","Structural_geological_grade","Paleoseismological_features","Paleoseismological_grade","Seismological_features","Seismological_grade","Total_activity_grade","Activity_degree","Last_activation_age","Last_activation_age_index","Last_historical_earthquake","Last_historical_earthquake_Q","Absolute_deformation_age","Absolute_deformation_age_Q","Vertical_max_slip_per_event_m","Vertical_max_slip_per_event_Q","Lateral_max_slip_per_event_m","Lateral_max_slip_per_event_Q","Total_max_slip_per_event_m","Total_max_slip_per_event_Q","Slip_rate_mm_year","Slip_rate_Q","Averaged_slip_rate_mm_year","Averaged_slip_rate_Q","Recurrence_interval","Recurrence_interval_Q","Potential_Ms_max","Potential_Ms_max_Q","Potential_Mw_max","Potential_Mw_max_Q","Elapsed_time_years","Elapsed_time_Q","Associated_CSS","Associated_IGGSS","Seismic_activity_of_fault","Compiler","Date"
"RUAF_1","Главный Саянский","Вдоль юго-западной границы Сибирской платформы",301,"ЛС",215,"ЛС",70,"ЛС","628.01","ЭЗ",,,"62.801","АС","Левый взбросо-сдвиг","ЛС",9,70000,"ЛС",,"ЛС",1,"3.1",3,"Серия линеаментов на топоосновах: 1 балл; уступы, рвы на местности: 2 балла",3,,0,"При Култукском землетрясении 27.08.2008 г. вдоль разлома произошло много мелких обвалов и осыпей объемом до 135 м3",0,"После землетрясении 27.08.2008 г. повысился уровень подпочвенных и поверхностных вод; из водокачки около 3 дней шла мутная вода; в колодцах изменился уровень воды: 2 балла",2,,0,"Взбросовое смещение 20-25 см в плиоценовых конгломератах: 5 баллов",5,"ПСД. L: 1) >60; 2) >60; 3) >60; 4) 46; 5) 46; 6) 40 км; Dv: 1) 3-4; 2) 3-4; 3) 1-5; 4) 5(3-4); 5) 1; 6) 3-5 м; Dh: 1) 7-8; 2) 7-8; 3) 7-8; 4) 6-10; 5) 4-6; 6) 1 м; возр.: 1) 9800; 2) 7600; 3) 4700; 4) 1800; 5) 600; 6) <400: 7 баллов",7,"> 5 землетрясений с М>=3.3: 7 баллов; K=13.3, Ms=5.3: 5 баллов",12,32,"аномально высокая","Голоценовое",2,,,"1) 9800; 2) 7600; 3) 4700; 4) 1800; 5) 600; 6) <400 лет назад","ЛС",5,"ЛС",10,"ЛС","11.1803","АС","3.1","ЛС","3.1","ЛС","440-3000","ЛС",8,"ЛС",0,,440,"ЭЗ","Восточно-Саянский","Восточно-Саянский, Китой-Кинская","Да","Лунина О.В.","23.02.2011"
"RUAF_2","Бирюсинский","Вдоль юго-западной границы Сибирской платформы",314,"ЛС",225,"ЛС",70,"ЛС","165.37","ЭЗ",,,"16.537","АС","Левый взбросо-сдвиг","ЛС",9,,"ЛС",300,"ЛС",1,"0-0.99",1,"Линеамент на топоосновах: 1 балл; уступы, рвы на местности: 2 балла",3,,0,,0,,0,,0,,0,,0,"1 землетрясение в зоне разлома с М=>3.3; макс. М в зоне разлома 3.3, К=10: 6 баллов",6,10,"средняя","Плейстоценовое",0,,,,,0,,0,,0,,"0-0.99","ЛС","0.5","ЛС",,,6,"ЛС",0,,,,"Бирюсинский",,"Да","Лунина О.В.","24.02.2011"
"RUAF_3","Окино-Жомболокский","В долинах рек Ока, Улзыта, Илеэ, Ута-Жалга, Айнак и других в Восточном Саяне",83,"ЭЗ",187,"ЛС",,,"129.7","ЭЗ",,,"12.97","АС","Левый взбросо-сдвиг","ЛС",9,,"ЛС",450,"ЛС",1,"0-0.99",1,"Линеамент на топоосновах: 1 балл; уступ на местности: 2 балла",3,,0,"Сейсмогравитационные обвалы объемом до 100 млн.м3:  3 балла [4]",3,,0,,0,,0,"ПСД: Окинская-I; L: 24 км; Dv: 1.5; Dh: 2 м; возр.: 680-690 лет; ПСД: Окинская-II; L: >70 км; Dv: 5-6; Dh [4]: 7 баллов",7,"> 5 землетрясений с М>=3.3: 7 баллов; K=11, Ms=3.9: 3 балла",10,24,"высокая","Голоценовое",2,,,"1) 680-690 лет назад","ЛС",6,"ЛС",0,"ЛС",6,"АС","1-4.99",,3,,,,"7.8","ЛС",0,,750,"ЭЗ","Окино-Жомболокский","Окинский","Да","Лунина О.В.","30.04.2015"
"RUAF_4","Кандатский","Вдоль долины р. Хойто-Ока в Восточном Саяне",75,"ЭЗ",354,"ЛС",,,"57.04","ЭЗ",,,"5.704","АС","Взброс","ЛС",6,,"ЛС",700,"ЛС",1,"0-0.99",1,"Линеамент на топоосновах: 1 балл; деформации террас и поверхностей выравнивания на местности: 2 балла",3,,0,,0,,0,,0,,0,"Деформации террас и поверхностей выравнивания",0,,0,4,"слабая","Плейстоценовое",0,,,,,0,,0,,0,,"0-0.99","ЛС","0.5","ЛС",,,"6.5","ЛС",0,,,,"Кандатский",,"Да","Лунина О.В.","12.02.2013"
"RUAF_5","Харагольский","Вдоль р. Хара-Гол, левого притока р. Оки в Восточном Саяне",81,"ЭЗ",,,,,"19.25","ЭЗ",,,"1.925","АС",,,13,,,,,2,,0,"Линеамент на топоосновах: 1 балл",1,,0,,0,,0,,0,,0,,0,,0,1,"Слабая","Плиоценовое",4,,,,,0,,0,,0,,,,0,,,,0,,0,,,,,,"Нет","Лунина О.В.","24.02.2011"
"RUAF_6","Тэргэтейский","Вдоль р. Тэргэтей, правого притока р. Оки в Восточном Саяне",323,"ЭЗ",,,,,"16.39","ЭЗ",,,"1.64","АС",,,13,,,,,2,,0,"Линеамент на топоосновах: 1 балл",1,,0,,0,,0,,0,,0,,0,,0,1,"Слабая","Плиоценовое",4,,,,,0,,0,,0,,,,0,,,,0,,0,,,,,,"Нет","Лунина О.В.","23.02.2011"
"RUAF_7","Тэргэтэнюдегейский","Вдоль рек Тэргэтэ и Нюдэг в районе хребта Урда-Окинский",46,"ЭЗ",,,,,"25.49","ЭЗ",,,"2.55","АС",,,13,,,,,2,,0,"Серия линеаментов на топоосновах: 1 балл",1,,0,,0,,0,,0,,0,,0,,0,1,"Слабая","Плиоценовое",4,,,,,0,,0,,0,,,,0,,,,0,,0,,,,,,"Нет","Лунина О.В.","26.02.2011"
"RUAF_8-1","Тункинский","Вдоль северного борта Тункинской рифтовой впадины",290,"ЛС",200,"ЛС",,,"58.65","ЭЗ",,,"5.87","АС","Левый сдвиг","ЭЗ",11,,"ЛС",2000,"ЛС",1,"0.07-4.5",3,"Уступ на топоосновах: 1 балл; уступ на местности: 2 балла",3,"Сегмент разлома выделяется по резкому градиенту удельного электрического сопротивления [Смекалин, 2008]: 1 балл",1,,0,,0,,0,"Многочисленные трещины с суммарной амплитудой сброса до 1 м в делювиальных отложениях [Смекалин. 2008. с. 47]: 5 баллов",5,"ПСД: 1)ТI; 2)ТII; 3)АIII+ТIII; 4)АIV+ТIV; L: 1)23; 2)34; 3)70; 4)70 км; Dv: 1) 0.7; 2) 0.45; 3) 4.1; 2.1;  4) 4 м;  Dh: 1) 2,1; 2) 1,35; 3) 8,2-7,1; 6,3-6,2; 4) 7,1 м;  возр.:1)2464-2809; 2)5257-5907; 3)9214-10074+8720-9902; 4)10386-11187 лет: 7",7,"2 землетрясения с М>=3.3: 3 балла; K=11, Ms=3.9: 3 балла",6,25,"высокая","Голоценовое",2,,,"1)2464-2809; 2)5257-5907; 3)9214-10074+8720-9902; 4)10386-11187 лет назад","ЛС","4.1","ЛС","8.2","ЛС","9.16788","АС","0.07-4.5","ЛС","2.285","ЛС",2800,"ЛС",8,"ЛС",0,,2800,"ЛС","Тункинский","Торский","Да","Лунина О.В.","15.11.2014"
"RUAF_8-2","Тункинский","Вдоль северного борта Тункинской рифтовой впадины",76,"ЛС",166,"ЛС",70,"ЛС","53.43","ЭЗ",,,"5.34","АС","Левый сдвиго-сброс","ЛС",2,,"ЛС",2000,"ЛС",1,"0.07-4.5",3,"Уступ на топоосновах: 1 балл; уступ на местности: 2 балла",3,"Выделяется в геоэлектрическом разрезе по вертикальной области шириной 45 м с низким значением удельного электрического сопротивления [Смекалин, 2008]: 1 балл",1,"Обвалы объемом не менее 15500 м3 [Агафонов, 2002]: 3 балла",3,"Восходящий воды через скважину ""Тунка-2"" с Т=37: 2 балла",2,,0,"Крупный скол. подобный сместителю зоны. в четвертичных суглинках и мраморном щебне; трещины. раскалывающие несколько голоценовых галек в одном направлении: 5 баллов",5,"ПСД: 1)AI; 2)AII; 3)АIII+ТIII; 4)АIV+ТIV; L: 1)10; 2)10; 3)70; 4)70 км; Dv: 1) 0.9; 2) 0.9; 3) 4.1; 2.1;  4) 4 м;  Dh: 1) 1,8; 2) 1,8; 3) 8,2-7,1; 6,3-6,2; 4) 7,1 м;  возр.:1) 1315-1742; 2)7091-7385; 3)9214-10074+8720-9902; 4)10386-11187 лет: 7",7,,0,24,"Высокая","Голоценовое",2,"02.09.1814. М=6.4","ЭЗ","1) 1315-1742; 2) 7091-7385; 3) 9214-10074+8720-9902; 4)10386-11187 лет назад","ЛС","4.1","ЛС","8.2","ЛС","9.16788","АС","0.07-4.5","ЛС","2.285","ЛС","1000-2500","ЛС",8,"ЛС",0,,196,"ЭЗ","Тункинский","Аршанский","Да","Лунина О.В.","28.02.2011"
"RUAF_8-3","Тункинский","Вдоль северного борта Тункинской рифтовой впадины",277,"ЛС",187,"ЛС",57,"ЛС","16.79","ЭЗ",,,"1.67","АС","Левый сбросо-сдвиг","ЭЗ",4,,"ЛС",2000,"ЛС",1,"0.07-4.5",3,"Уступ на топоосновах: 1 балл; уступ на местности: 2 балла",3,,0,,0,,0,,0,,0,,0,,0,6,"Средняя","Плиоценовое",4,,,,,0,,0,,0,,"0.07-4.5","ЛС","2.285","ЛС",,,7,"ЛС",0,,,,"Тункинский",,"Да","Лунина О.В.","11.03.2011"
"RUAF_8-4","Тункинский","Вдоль северного борта Тункинской рифтовой впадины",57,"ЛС",147,"ЛС",,,"9.12","ЭЗ",,,"0.91","АС","Сброс","ЭЗ",1,,"ЛС",2000,"ЛС",1,"0.07-4.5",3,"Уступ на топоосновах: 1 балл; уступ на местности: 2 балла",3,,0,,0,,0,,0,,0,,0,,0,6,"Средняя","Плиоценовое",4,,,,,0,,0,,0,,"0.07-4.5","ЛС","2.285","ЛС",,,7,"ЛС",0,,,,"Тункинский",,"Да","Лунина О.В.","11.03.2011"
"RUAF_8-5","Тункинский","Вдоль северного борта Тункинской рифтовой впадины",90,"ЛС",180,"ЛС",,,"5.16","ЭЗ",,,"0.52","АС","Левый сдвиго-сброс","ЭЗ",2,,"ЛС",2000,"ЛС",1,"0.07-4.5",3,"Уступ на топоосновах: 1 балл; уступ на местности: 2 балла",3,,0,,0,,0,,0,,0,,0,,0,6,"Средняя","Плиоценовое",4,,,,,0,,0,,0,,"0.07-4.5","ЛС","2.285","ЛС",,,7,"ЛС",0,,,,"Тункинский",,"Да","Лунина О.В.","11.03.2011"
"RUAF_8-6","Тункинский","Вдоль северного борта Тункинской рифтовой впадины",52,"ЛС",142,"ЛС",,,"16.29","ЭЗ",,,"1.63","АС","Сброс","ЭЗ",1,,"ЛС",2000,"ЛС",1,"0.07-4.5",3,"Уступ на топоосновах: 1 балл; уступ на местности: 2 балла",3,,0,,0,,0,,0,,0,,0,"1 землетрясение с М>=3.3 (K>=10): 3 балла; К=12, М=4.4: 3 балла",6,12,"Повышенная","Плиоценовое",4,,,,,0,,0,,0,,"0.07-4.5","ЛС","2.285","ЛС",,,7,"ЛС",0,,,,"Тункинский",,"Да","Лунина О.В.","11.03.2011"
"RUAF_9","Мондинский","Вдоль Мондинской локальной впадины в Тункинской долине",280,"ЛС",187,"ЛС",65,,"34.87","ЭЗ",14,"ЭЗ","3.487","АС","Левый сбросо-сдвиг","ЛС",4,,,,,1,"0-0.99",1,"Уступ и линеамент на топоосновах: 1 балл; уступ на местности: 2 балла",3,,0,,0,,0,,0,"Зоны трещиноватости в плейстоцен-голоценовых песках и глинах; лево-сдвиговые смещения до 3 см в валунно-галечных плейстоцен-голоценовых осадках по Мондинской системе: 5 баллов",5,"Мондинская палеосейсмодислокация. Длина=5.4 км. Dv=0.3-0,8 м; Dh=0,1-0,15 м: 3 балла",3,"4 землетрясения с М>=3.3: 5 баллов; K=16. Mw=6.9: 7 баллов",12,24,"высокая","Историческое",1,"04.04.1950 г. Mw=6.9","ЛС","1950 г. н.э.","ЛС","0.8","ЛС","0.15","ЛС","0.813941","АС","0-0.99","ЛС","0.5","ЛС",,,7,"ЛС","6.9","ЛС",60,"ЭЗ","Мондинский","Мондинский","Да","Лунина О.В.","15.03.2011"
"RUAF_10-1","Китойский","Вдоль р.Шара-Гол и р.Китой",80,"ЭЗ",170,"ЛС",,,"35.36","ЭЗ",,,"3.54","АС","Взброс","ЛС",6,,,,,1,"0-0.99",1,"Линеамент на топоосновах: 1 балл",1,,0,,0,,0,,0,,0,,0,"1 землетрясение с М>=3.3 (K>=10): 3 балла; K=11, Ms=3.9: 3 балла",6,8,"Средняя","Плейстоценовое",3,,,,,0,,0,,0,,"0-0.99","ЛС","0.5","ЛС",,,0,,0,,,,"Китойский",,"Да","Лунина О.В.","14.03.2011"
"RUAF_10-2","Китойский","Вдоль р. Китой",80,"ЭЗ",170,"ЛС",,,"9.46","ЭЗ",,,"0.95","АС","Взброс","ЛС",6,,,,,1,"0-0.99",1,"Линеамент на топоосновах: 1 балл",1,,0,,0,,0,,0,,0,,0,,0,2,"Слабая","Плейстоценовое",3,,,,,0,,0,,0,,"0-0.99","ЛС","0.5","ЛС",,,0,,0,,,,"Китойский",,"Да","Лунина О.В.","14.03.2011"
"RUAF_10-3","Китойский","Вдоль р. Китой",73,"ЭЗ",163,"ЛС",75,"ЛС","18.97","ЭЗ",,,"1.9","АС","Взброс","ЛС",6,,,,,1,"0-0.99",1,"Линеамент на топоосновах: 1 балл; линейный уступ на местности: 2 балла",3,,0,"Крупные сейсмогравитационные обвалы: 3 балла",3,,0,,0,,0,,0,"1 землетрясение с М>=3.3 (K>=10): 3 балла; К=10, М=3.3: 3 балла",6,13,"Повышенная","Плейстоценовое",3,,,,,0,,0,,0,,"0-0.99","ЛС","0.5","ЛС",,,0,,0,,,,"Китойский",,"Да","Лунина О.В.","17.03.2011"
